"The smell of HATE to me would be a mixture of gasoline, aniseed and steamed Brussels Sprouts.",_NTFG_
who decided that Brussels Sprouts were a good idea for the menu this week? who even likes Brussels Sprouts?,julnapolitano_
RT @OceanBlueEyes11: Roasted Brussels Sprouts http://t.co/M17EG7zxiT #food #vegetables,tamitrailscapes
How are there people in this world who don't like Brussels Sprouts?,MarthaStewbad
@talinkpink i just now bought some pre-seasoned chicken breasts n throwin it on the foreman wit Brussels Sprouts,The_Paradox
"RT @_NTFG_: The smell of HATE to me would be a mixture of gasoline, aniseed and steamed Brussels Sprouts.",KhaleddAhmed
Sautéed Brussels Sprouts are my new favorite vegetables. @chotiari @ElleRBarnes,AppFlyer
"@BoneyStarks Like I would any other time. I ate an hour ago after the gym. Grilled chicken, sweet potato, and Brussels Sprouts.",BaDouble
"Couldn't find any noodles so I made rice, fish and Brussels Sprouts! Streaming #lootcrate unboxing as… https://t.co/69gZ9zC8ly",VooDoo_Val
"Chicken boobs, Brussels Sprouts &amp; raspberries. 😋😋😋😋",cierra_nikole
@TriplePPP0 Brussels Sprouts 😏,SawyerKatherine
Guys I made this. Parmesean crusted chicken and sauteed Brussels Sprouts over basil fettucine. http://t.co/K7Mq41Cyod,daveajstearns
@Castro_D_Rice I eat everything else green though! Except for Brussels Sprouts.,PrincesaTee
Seasoned and broiled tilapia and sautéed Brussels Sprouts for a clean din tonight😀to fuel up after 3… https://t.co/rqmUDdMowE,JennaBertram
"RT @graceedavidsonn: ""Mom made Brussels Sprouts... i dont know or some other breakfast food.."" @victorialogan_",victorialogan_
i can't wait to eat Brussels Sprouts on my birthday,megancantarella
RT @MadiWheatley: I love Brussels Sprouts. My mommy can make any vegetable yummy!,MackenzieWheat
Eating steamed Brussels Sprouts in butter sauce #Yumm,SincerelyRena
@Mariah_CRpG Liar but I can make rhubarb and Brussels Sprouts.,Marcus_CRpG
I love Brussels Sprouts,Jess_Dack02476
"""Mom made Brussels Sprouts... i dont know or some other breakfast food.."" @victorialogan_",graceedavidsonn
"Homemade dough, jack cheese, Brussels Sprouts, pancetta, caramelized crispy onions, balsamic glaze. #food #nyc http://t.co/tfen5FLbkg",AlexLoRe
"Easy as 1, 2, 3.  #leftover city.  1 chicken sausage, some Brussels Sprouts, heated in a pan w/ some… https://t.co/myCsNGF8zD",cfsouthvalley
@DennisDill Really thought you were going to say Brussels Sprouts.,artlaflamme
RT @Allyson_Gelnett: I'm thankful god made Brussels Sprouts. // I'm thankful he made air freshener. 🙊,zackmassey
I'm thankful god made Brussels Sprouts.,Allyson_Gelnett
oooooh mom got Brussels Sprouts 😛😍 but idk how to make them,xsioban
Dinner is Served. BBQ chicken and Brussels Sprouts out of the NuWave!!!#Rhys_Journey #94KgWeightClass https://t.co/XzSROqzN8Y,Rhyan_Ramirez
My Honey Bunny made me some simple and delicious roasted Brussels Sprouts and roasted garlic. So… https://t.co/nOdZRQHVAZ,Sheamless222
"Tonight's dinner: tuna steaks with a balsamic reduction, Brussels Sprouts tossed in sage brown butter… https://t.co/UHD6qV76sR",mgirl283
@japangalaxy ohmgog i love Brussels Sprouts,babybIonde
"RT @oliviaahm: ""honestly Brussels Sprouts are gross and so are most boys tbh""",ByrdsTheWordd_
Tar &amp; Roses on #Yelp: Brussels Sprouts http://t.co/gM1lMO4ZYr,HerOvaThere
CARAMELIZED Brussels Sprouts &amp; BACON http://t.co/0pxt7nx4d0,TsLynx
CARAMELIZED Brussels Sprouts &amp; BACON http://t.co/R4MW1kXLl8,TsLynx
Why have a handful of Brussels Sprouts when you can trash them all?,ErikHardNipples
@b_markley9 eat more Brussels Sprouts!!,PoppaKDog
@mtneer1863 still need main dish? London broil with fingerling potatos and Brussels Sprouts?,Rolandale
The ice cream I am eating tastes so much better when I'm scrolling through insta and people are posting pictures of Brussels Sprouts and shit,kenzieee1996
"RT @oliviaahm: ""honestly Brussels Sprouts are gross and so are most boys tbh""",leahsmith___
